"","vaccine","brandname_tradename","packaging","cdc_cost_dose","private_sector_cost_dose","contract_end_date","manufacturer","date","year","ndc","contract_number"
"2849","Varicella [5]","Varivax®","10 pack – 1 dose vial","$77.567","$129.30","6/30/2019","Merck",2019-01-02,2019,"00006-4827-00","75D30118D01507"
"2850","Zoster Vaccine Recombinant, Adjuvanted","Shingrix","1 pack – 1 dose vial","$102.19","$140.00","6/30/2019","GlaxoSmithKline",2019-01-02,2019,"58160-0819-12","75D30118D01508"
"2851","Zoster Vaccine Recombinant, Adjuvanted","Shingrix","10 pack – 1 dose vial","$102.19","$140.00","6/30/2019","GlaxoSmithKline",2019-01-02,2019,"58160-0823-11","75D30118D01508"
"2852","Hepatitis A Adult [5]","Vaqta®","10 pack – 1 dose syringe","$28.28","$68.23","6/30/2019","Merck",2019-03-01,2019,"00006-4096-02","75D30118D01507"
"2853","Hepatitis A Adult [5]","Vaqta®","10 pack – 1 dose vial","$26.29","$68.23","6/30/2019","Merck",2019-03-01,2019,"00006-4841-41","75D30118D01507"
"2854","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose syringe","$28.28","$67.55","6/30/2019","GlaxoSmithKline",2019-03-01,2019,"58160-0826-52","75D30118D01508"
"2855","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose syringe","$56.76","$101.00","6/30/2019","GlaxoSmithKline",2019-03-01,2019,"58160-0815-52","75D30118D01508"
"2856","Hepatitis B Adult [5]","Heplisav-B™","5 pack – 1 dose syringe","$69.75","$115.75","6/30/2019","Dynavax",2019-03-01,2019,"43528-0003-05","75D30118D01512"
"2857","Hepatitis B Adult [5]","Engerix-B®","10 pack – 1 dose vial","$27.34","$57.25","6/30/2019","GlaxoSmithKline",2019-03-01,2019,"58160-0821-11","75D30118D01508"
"2858","Hepatitis B Adult [5]","Engerix-B®","10 pack – 1 dose syringe","$30.81","$57.25","6/30/2019","GlaxoSmithKline",2019-03-01,2019,"58160-0821-52","75D30118D01508"
"2859","HPV-Human Papillomavirus 9 Valent [5]","Gardasil®9","10 pack – 1 dose syringe","$144.175","$217.11","6/30/2019","Merck",2019-03-01,2019,"00006-4121-02","75D30118D01507"
"2860","Measles, Mumps, & Rubella [1]","M-M-R®II","10 pack – 1 dose vial","$45.649","$75.04","6/30/2019","Merck",2019-03-01,2019,"00006-4681-00","75D30118D01507"
"2861","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menveo®","5 pack – 1 dose vial","$65.91","$126.95","6/30/2019","GlaxoSmithKline",2019-03-01,2019,"58160-0955-09","75D30118D01508"
"2862","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menactra","5 pack – 1 dose vial","$75.066","$122.31","6/30/2019","Sanofi",2019-03-01,2019,"49281-0589-05","75D30118D01511"
"2863","MENB – Meningococcal Group B [5]","Trumenba®","10 pack – 1 dose syringe","$75.814","$133.62","6/30/2019","Pfizer",2019-03-01,2019,"00005-0100-10","75D30118D01510"
"2864","MENB – Meningococcal Group B [5]","Bexsero®","10 pack – 1 dose syringe","$103.938","$165.75","6/30/2019","GlaxoSmithKline",2019-03-01,2019,"58160-0976-20","75D30118D01508"
"2865","MENB – Meningococcal Group B [5]","Bexsero®","1 pack – 1 dose syringe","$102.33","$165.75","6/30/2019","GlaxoSmithKline",2019-03-01,2019,"58160-0976-06","75D30118D01508"
"2866","Pneumococcal
13-valent [5]","Prevnar 13™","10 pack – 1 dose syringe","$118.049","$180.05","6/30/2019","Pfizer",2019-03-01,2019,"00005-1971-02","75D30118D01510"
"2867","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – 1 dose syringe","$55.273","$100.19","6/30/2019","Merck",2019-03-01,2019,"00006-4837-03","75D30118D01507"
"2868","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – single dose vial","$56.137","$100.19","6/30/2019","Merck",2019-03-01,2019,"00006-4943-00","75D30118D01507"
"2869","Tetanus and Diphtheria Toxoids [3]","Td Vaccine","10 pack – 1 dose vial","$13.964","$23.926","6/30/2019","Grifols",2019-03-01,2019,"13533-0131-01","75D30118D01509"
"2870","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","10 pack – 1 dose vial","$24.491","$45.50","6/30/2019","Sanofi",2019-03-01,2019,"49281-0400-10","75D30118D01511"
"2871","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","5 pack – 1 dose syringe","$25.104","$45.50","6/30/2019","Sanofi",2019-03-01,2019,"49281-0400-20","75D30118D01511"
"2872","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$24.648","$40.05","6/30/2019","GlaxoSmithKline",2019-03-01,2019,"58160-0842-11","75D30118D01508"
"2873","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose syringe","$24.79","$40.05","6/30/2019","GlaxoSmithKline",2019-03-01,2019,"58160-0842-52","75D30118D01508"
"2874","Varicella [5]","Varivax®","10 pack – 1 dose vial","$77.567","$129.30","6/30/2019","Merck",2019-03-01,2019,"00006-4827-00","75D30118D01507"
"2875","Zoster Vaccine Recombinant, Adjuvanted","Shingrix","1 pack – 1 dose vial","$102.19","$140.00","6/30/2019","GlaxoSmithKline",2019-03-01,2019,"58160-0819-12","75D30118D01508"
"2876","Zoster Vaccine Recombinant, Adjuvanted","Shingrix","10 pack – 1 dose vial","$102.19","$140.00","6/30/2019","GlaxoSmithKline",2019-03-01,2019,"58160-0823-11","75D30118D01508"
"2877","Hepatitis A Adult [5]","Vaqta®","10 pack – 1 dose syringe","$28.28","$68.23","6/30/2019","Merck",2019-04-01,2019,"00006-4096-02","75D30118D01507"
"2878","Hepatitis A Adult [5]","Vaqta®","10 pack – 1 dose vial","$26.29","$68.23","6/30/2019","Merck",2019-04-01,2019,"00006-4841-41","75D30118D01507"
"2879","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose syringe","$28.28","$67.55","6/30/2019","GlaxoSmithKline",2019-04-01,2019,"58160-0826-52","75D30118D01508"
"2880","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose syringe","$56.76","$104.00","6/30/2019","GlaxoSmithKline",2019-04-01,2019,"58160-0815-52","75D30118D01508"
"2881","Hepatitis B Adult [5]","Heplisav-B™","5 pack – 1 dose syringe","$69.75","$115.75","6/30/2019","Dynavax",2019-04-01,2019,"43528-0003-05","75D30118D01512"
"2882","Hepatitis B Adult [5]","Engerix-B®","10 pack – 1 dose vial","$27.34","$57.25","6/30/2019","GlaxoSmithKline",2019-04-01,2019,"58160-0821-11","75D30118D01508"
"2883","Hepatitis B Adult [5]","Engerix-B®","10 pack – 1 dose syringe","$30.81","$57.25","6/30/2019","GlaxoSmithKline",2019-04-01,2019,"58160-0821-52","75D30118D01508"
"2884","HPV-Human Papillomavirus 9 Valent [5]","Gardasil®9","10 pack – 1 dose syringe","$144.175","$217.11","6/30/2019","Merck",2019-04-01,2019,"00006-4121-02","75D30118D01507"
"2885","Measles, Mumps, & Rubella [1]","M-M-R®II","10 pack – 1 dose vial","$45.649","$75.04","6/30/2019","Merck",2019-04-01,2019,"00006-4681-00","75D30118D01507"
"2886","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menveo®","5 pack – 1 dose vial","$65.91","$130.75","6/30/2019","GlaxoSmithKline",2019-04-01,2019,"58160-0955-09","75D30118D01508"
"2887","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menactra","5 pack – 1 dose vial","$75.066","$122.31","6/30/2019","Sanofi",2019-04-01,2019,"49281-0589-05","75D30118D01511"
"2888","MENB – Meningococcal Group B [5]","Trumenba®","10 pack – 1 dose syringe","$75.814","$133.62","6/30/2019","Pfizer",2019-04-01,2019,"00005-0100-10","75D30118D01510"
"2889","MENB – Meningococcal Group B [5]","Bexsero®","10 pack – 1 dose syringe","$103.938","$170.75","6/30/2019","GlaxoSmithKline",2019-04-01,2019,"58160-0976-20","75D30118D01508"
"2890","MENB – Meningococcal Group B [5]","Bexsero®","1 pack – 1 dose syringe","$102.33","$170.75","6/30/2019","GlaxoSmithKline",2019-04-01,2019,"58160-0976-06","75D30118D01508"
"2891","Pneumococcal
13-valent [5]","Prevnar 13™","10 pack – 1 dose syringe","$118.049","$180.05","6/30/2019","Pfizer",2019-04-01,2019,"00005-1971-02","75D30118D01510"
"2892","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – 1 dose syringe","$55.273","$100.19","6/30/2019","Merck",2019-04-01,2019,"00006-4837-03","75D30118D01507"
"2893","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – single dose vial","$56.137","$100.19","6/30/2019","Merck",2019-04-01,2019,"00006-4943-00","75D30118D01507"
"2894","Tetanus and Diphtheria Toxoids [3]","TDVAX™","10 pack – 1 dose vial","$13.964","$25.122","6/30/2019","Grifols",2019-04-01,2019,"13533-0131-01","75D30118D01509"
"2895","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","10 pack – 1 dose vial","$24.491","$45.50","6/30/2019","Sanofi",2019-04-01,2019,"49281-0400-10","75D30118D01511"
"2896","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","5 pack – 1 dose syringe","$25.104","$45.50","6/30/2019","Sanofi",2019-04-01,2019,"49281-0400-20","75D30118D01511"
"2897","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$24.648","$41.19","6/30/2019","GlaxoSmithKline",2019-04-01,2019,"58160-0842-11","75D30118D01508"
"2898","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose syringe","$24.79","$41.19","6/30/2019","GlaxoSmithKline",2019-04-01,2019,"58160-0842-52","75D30118D01508"
"2899","Varicella [5]","Varivax®","10 pack – 1 dose vial","$77.567","$129.30","6/30/2019","Merck",2019-04-01,2019,"00006-4827-00","75D30118D01507"
"2900","Zoster Vaccine Recombinant, Adjuvanted","Shingrix","1 pack – 1 dose vial","$102.19","$140.00","6/30/2019","GlaxoSmithKline",2019-04-01,2019,"58160-0819-12","75D30118D01508"
"2901","Zoster Vaccine Recombinant, Adjuvanted","Shingrix","10 pack – 1 dose vial","$102.19","$140.00","6/30/2019","GlaxoSmithKline",2019-04-01,2019,"58160-0823-11","75D30118D01508"
"2902","Hepatitis A Adult [5]","Vaqta®","10 pack – 1 dose syringe","$28.28","$68.23","6/30/2019","Merck",2019-06-10,2019,"00006-4096-02","75D30118D01507"
"2903","Hepatitis A Adult [5]","Vaqta®","10 pack – 1 dose vial","$26.29","$68.23","6/30/2019","Merck",2019-06-10,2019,"00006-4841-41","75D30118D01507"
"2904","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose syringe","$28.28","$67.55","6/30/2019","GlaxoSmithKline",2019-06-10,2019,"58160-0826-52","75D30118D01508"
"2905","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose syringe","$56.76","$104.00","6/30/2019","GlaxoSmithKline",2019-06-10,2019,"58160-0815-52","75D30118D01508"
"2906","Hepatitis B Adult [5]","Heplisav-B™","5 pack – 1 dose syringe","$69.75","$115.75","6/30/2019","Dynavax",2019-06-10,2019,"43528-0003-05","75D30118D01512"
"2907","Hepatitis B Adult [5]","Engerix-B®","10 pack – 1 dose vial","$27.34","$57.25","6/30/2019","GlaxoSmithKline",2019-06-10,2019,"58160-0821-11","75D30118D01508"
"2908","Hepatitis B Adult [5]","Engerix-B®","10 pack – 1 dose syringe","$30.81","$57.25","6/30/2019","GlaxoSmithKline",2019-06-10,2019,"58160-0821-52","75D30118D01508"
"2909","HPV-Human Papillomavirus 9 Valent [5]","Gardasil®9","10 pack – 1 dose syringe","$144.175","$217.11","6/30/2019","Merck",2019-06-10,2019,"00006-4121-02","75D30118D01507"
"2910","Measles, Mumps, & Rubella [1]","M-M-R®II","10 pack – 1 dose vial","$45.649","$75.04","6/30/2019","Merck",2019-06-10,2019,"00006-4681-00","75D30118D01507"
"2911","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menveo®","5 pack – 1 dose vial","$65.91","$130.75","6/30/2019","GlaxoSmithKline",2019-06-10,2019,"58160-0955-09","75D30118D01508"
"2912","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menactra","5 pack – 1 dose vial","$75.066","$122.31","6/30/2019","Sanofi",2019-06-10,2019,"49281-0589-05","75D30118D01511"
"2913","MENB – Meningococcal Group B [5]","Trumenba®","10 pack – 1 dose syringe","$75.814","$139.52","6/30/2019","Pfizer",2019-06-10,2019,"00005-0100-10","75D30118D01510"
"2914","MENB – Meningococcal Group B [5]","Bexsero®","10 pack – 1 dose syringe","$103.938","$170.75","6/30/2019","GlaxoSmithKline",2019-06-10,2019,"58160-0976-20","75D30118D01508"
"2915","MENB – Meningococcal Group B [5]","Bexsero®","1 pack – 1 dose syringe","$102.33","$170.75","6/30/2019","GlaxoSmithKline",2019-06-10,2019,"58160-0976-06","75D30118D01508"
"2916","Pneumococcal
13-valent [5]","Prevnar 13™","10 pack – 1 dose syringe","$118.049","$188.26","6/30/2019","Pfizer",2019-06-10,2019,"00005-1971-02","75D30118D01510"
"2917","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – 1 dose syringe","$55.273","$100.19","6/30/2019","Merck",2019-06-10,2019,"00006-4837-03","75D30118D01507"
"2918","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – single dose vial","$56.137","$100.19","6/30/2019","Merck",2019-06-10,2019,"00006-4943-00","75D30118D01507"
"2919","Tetanus and Diphtheria Toxoids [3]","TDVAX™","10 pack – 1 dose vial","$13.964","$25.122","6/30/2019","Grifols",2019-06-10,2019,"13533-0131-01","75D30118D01509"
"2920","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","10 pack – 1 dose vial","$24.491","$45.50","6/30/2019","Sanofi",2019-06-10,2019,"49281-0400-10","75D30118D01511"
"2921","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel","5 pack – 1 dose syringe","$25.104","$45.50","6/30/2019","Sanofi",2019-06-10,2019,"49281-0400-20","75D30118D01511"
"2922","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$24.648","$41.19","6/30/2019","GlaxoSmithKline",2019-06-10,2019,"58160-0842-11","75D30118D01508"
"2923","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose syringe","$24.79","$41.19","6/30/2019","GlaxoSmithKline",2019-06-10,2019,"58160-0842-52","75D30118D01508"
"2924","Varicella [5]","Varivax®","10 pack – 1 dose vial","$77.567","$129.30","6/30/2019","Merck",2019-06-10,2019,"00006-4827-00","75D30118D01507"
"2925","Zoster Vaccine Recombinant, Adjuvanted","Shingrix","1 pack – 1 dose vial","$102.19","$140.00","6/30/2019","GlaxoSmithKline",2019-06-10,2019,"58160-0819-12","75D30118D01508"
"2926","Zoster Vaccine Recombinant, Adjuvanted","Shingrix","10 pack – 1 dose vial","$102.19","$140.00","6/30/2019","GlaxoSmithKline",2019-06-10,2019,"58160-0823-11","75D30118D01508"
"2927","Hepatitis A Adult [5]","Vaqta®","10 pack – 1 dose syringe","$37.785","$68.23","6/30/2020","Merck",2019-07-01,2019,"00006-4096-02","75D30119D05105"
"2928","Hepatitis A Adult [5]","Vaqta®","10 pack – 1 dose vial","$37.785","$68.23","6/30/2020","Merck",2019-07-01,2019,"00006-4841-41","75D30119D05105"
"2929","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose syringe","$30.758","$69.56","6/30/2020","GlaxoSmithKline",2019-07-01,2019,"58160-0826-52","75D30119D05108"
"2930","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose syringe","$61.858","$104.00","6/30/2020","GlaxoSmithKline",2019-07-01,2019,"58160-0815-52","75D30119D05108"
"2931","Hepatitis B Adult [5]","Heplisav-B™","5 pack – 1 dose syringe","$69.75","$115.75","6/30/2020","Dynavax",2019-07-01,2019,"43528-0003-05","75D30119D05107"
"2932","Hepatitis B Adult [5]","Engerix-B®","10 pack – 1 dose vial","$29.733","$58.95","6/30/2020","GlaxoSmithKline",2019-07-01,2019,"58160-0821-11","75D30119D05108"
"2933","Hepatitis B Adult [5]","Engerix-B®","10 pack – 1 dose syringe","$33.515","$58.95","6/30/2020","GlaxoSmithKline",2019-07-01,2019,"58160-0821-52","75D30119D05108"
"2934","HPV-Human Papillomavirus 9 Valent [5]","Gardasil®9","10 pack – 1 dose syringe","$144.99","$217.11","6/30/2020","Merck",2019-07-01,2019,"00006-4121-02","75D30119D05105"
"2935","Measles, Mumps, & Rubella [1]","M-M-R®II","10 pack – 1 dose vial","$49.536","$75.04","6/30/2020","Merck",2019-07-01,2019,"00006-4681-00","75D30119D05105"
"2936","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menveo®","5 pack – 1 dose vial","$67.618","$130.75","6/30/2020","GlaxoSmithKline",2019-07-01,2019,"58160-0955-09","75D30119D05108"
"2937","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menactra®","5 pack – 1 dose vial","$75.066","$122.31","6/30/2020","Sanofi",2019-07-01,2019,"49281-0589-05","75D30119D05106"
"2938","MENB – Meningococcal Group B [5]","Trumenba®","10 pack – 1 dose syringe","$85.10","$139.52","6/30/2020","Pfizer",2019-07-01,2019,"00005-0100-10","75D30119D05110"
"2939","MENB – Meningococcal Group B [5]","Bexsero®","10 pack – 1 dose syringe","$103.938","$170.75","6/30/2020","GlaxoSmithKline",2019-07-01,2019,"58160-0976-20","75D30119D05108"
"2940","Pneumococcal
13-valent [5]","Prevnar 13™","10 pack – 1 dose syringe","$125.07","$188.26","6/30/2020","Pfizer",2019-07-01,2019,"00005-1971-02","75D30119D05110"
"2941","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – 1 dose syringe","$66.201","$100.19","6/30/2020","Merck",2019-07-01,2019,"00006-4837-03","75D30119D05105"
"2942","Tetanus and Diphtheria Toxoids [3]","TDVAX™","10 pack – 1 dose vial","$16.027","$25.122","6/30/2020","Grifols",2019-07-01,2019,"13533-0131-01","75D30119D05109"
"2943","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel®","10 pack – 1 dose vial","$24.491","$45.50","6/30/2020","Sanofi",2019-07-01,2019,"49281-0400-10","75D30119D05106"
"2944","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel®","5 pack – 1 dose syringe","$25.104","$45.50","6/30/2020","Sanofi",2019-07-01,2019,"49281-0400-20","75D30119D05106"
"2945","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$24.49","$41.19","6/30/2020","GlaxoSmithKline",2019-07-01,2019,"58160-0842-11","75D30119D05108"
"2946","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose syringe","$25.10","$41.19","6/30/2020","GlaxoSmithKline",2019-07-01,2019,"58160-0842-52","75D30119D05108"
"2947","Varicella [5]","Varivax®","10 pack – 1 dose vial","$84.876","$129.30","6/30/2020","Merck",2019-07-01,2019,"00006-4827-00","75D30119D05105"
"2948","Zoster Vaccine Recombinant, Adjuvanted","Shingrix®","1 pack – 1 dose vial","$102.90","$144.20","6/30/2020","GlaxoSmithKline",2019-07-01,2019,"58160-0819-12","75D30119D05108"
"2949","Zoster Vaccine Recombinant, Adjuvanted","Shingrix®","10 pack – 1 dose vial","$102.316","$144.20","6/30/2020","GlaxoSmithKline",2019-07-01,2019,"58160-0823-11","75D30119D05108"
"2950","Hepatitis A Adult [5]","Vaqta®","10 pack – 1 dose syringe","$30.758","$68.23","6/30/2020","Merck",2019-08-01,2019,"00006-4096-02","75D30119D05105"
"2951","Hepatitis A Adult [5]","Vaqta®","10 pack – 1 dose vial","$30.758","$68.23","6/30/2020","Merck",2019-08-01,2019,"00006-4841-41","75D30119D05105"
"2952","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose syringe","$30.758","$69.56","6/30/2020","GlaxoSmithKline",2019-08-01,2019,"58160-0826-52","75D30119D05108"
"2953","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose syringe","$61.858","$104.00","6/30/2020","GlaxoSmithKline",2019-08-01,2019,"58160-0815-52","75D30119D05108"
"2954","Hepatitis B Adult [5]","Heplisav-B™","5 pack – 1 dose syringe","$69.75","$115.75","6/30/2020","Dynavax",2019-08-01,2019,"43528-0003-05","75D30119D05107"
"2955","Hepatitis B Adult [5]","Engerix-B®","10 pack – 1 dose vial","$29.733","$58.95","6/30/2020","GlaxoSmithKline",2019-08-01,2019,"58160-0821-11","75D30119D05108"
"2956","Hepatitis B Adult [5]","Engerix-B®","10 pack – 1 dose syringe","$33.515","$58.95","6/30/2020","GlaxoSmithKline",2019-08-01,2019,"58160-0821-52","75D30119D05108"
"2957","HPV-Human Papillomavirus 9 Valent [5]","Gardasil®9","10 pack – 1 dose syringe","$144.99","$217.11","6/30/2020","Merck",2019-08-01,2019,"00006-4121-02","75D30119D05105"
"2958","Measles, Mumps, & Rubella [1]","M-M-R®II","10 pack – 1 dose vial","$49.536","$75.04","6/30/2020","Merck",2019-08-01,2019,"00006-4681-00","75D30119D05105"
"2959","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menveo®","5 pack – 1 dose vial","$67.618","$130.75","6/30/2020","GlaxoSmithKline",2019-08-01,2019,"58160-0955-09","75D30119D05108"
"2960","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menactra®","5 pack – 1 dose vial","$75.066","$122.31","6/30/2020","Sanofi",2019-08-01,2019,"49281-0589-05","75D30119D05106"
"2961","MENB – Meningococcal Group B [5]","Trumenba®","10 pack – 1 dose syringe","$85.10","$139.52","6/30/2020","Pfizer",2019-08-01,2019,"00005-0100-10","75D30119D05110"
"2962","MENB – Meningococcal Group B [5]","Bexsero®","10 pack – 1 dose syringe","$103.938","$170.75","6/30/2020","GlaxoSmithKline",2019-08-01,2019,"58160-0976-20","75D30119D05108"
"2963","Pneumococcal
13-valent [5]","Prevnar 13™","10 pack – 1 dose syringe","$125.07","$188.26","6/30/2020","Pfizer",2019-08-01,2019,"00005-1971-02","75D30119D05110"
"2964","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – 1 dose syringe","$66.201","$100.19","6/30/2020","Merck",2019-08-01,2019,"00006-4837-03","75D30119D05105"
"2965","Tetanus and Diphtheria Toxoids [3]","TDVAX™","10 pack – 1 dose vial","$16.027","$25.122","6/30/2020","Grifols",2019-08-01,2019,"13533-0131-01","75D30119D05109"
"2966","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel®","10 pack – 1 dose vial","$24.491","$45.50","6/30/2020","Sanofi",2019-08-01,2019,"49281-0400-10","75D30119D05106"
"2967","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Adacel®","5 pack – 1 dose syringe","$25.104","$45.50","6/30/2020","Sanofi",2019-08-01,2019,"49281-0400-20","75D30119D05106"
"2968","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose vial","$24.49","$41.19","6/30/2020","GlaxoSmithKline",2019-08-01,2019,"58160-0842-11","75D30119D05108"
"2969","Tetanus Toxoid, Reduced Diphtheria Toxoid and Acellular Pertussis [1]","Boostrix®","10 pack – 1 dose syringe","$25.10","$41.19","6/30/2020","GlaxoSmithKline",2019-08-01,2019,"58160-0842-52","75D30119D05108"
"2970","Varicella [5]","Varivax®","10 pack – 1 dose vial","$84.876","$129.30","6/30/2020","Merck",2019-08-01,2019,"00006-4827-00","75D30119D05105"
"2971","Zoster Vaccine Recombinant, Adjuvanted","Shingrix®","1 pack – 1 dose vial","$102.90","$144.20","6/30/2020","GlaxoSmithKline",2019-08-01,2019,"58160-0819-12","75D30119D05108"
"2972","Zoster Vaccine Recombinant, Adjuvanted","Shingrix®","10 pack – 1 dose vial","$102.316","$144.20","6/30/2020","GlaxoSmithKline",2019-08-01,2019,"58160-0823-11","75D30119D05108"
"2973","Hepatitis A Adult [5]","Vaqta®","10 pack – 1 dose syringe","$30.758","$69.580","6/30/2020","Merck",2019-09-01,2019,"00006-4096-02","75D30119D05105"
"2974","Hepatitis A Adult [5]","Vaqta®","10 pack – 1 dose vial","$30.758","$69.580","6/30/2020","Merck",2019-09-01,2019,"00006-4841-41","75D30119D05105"
"2975","Hepatitis A Adult [5]","Havrix®","10 pack – 1 dose syringe","$30.758","$69.56","6/30/2020","GlaxoSmithKline",2019-09-01,2019,"58160-0826-52","75D30119D05108"
"2976","Hepatitis A-Hepatitis B Adult [3]","Twinrix®","10 pack – 1 dose syringe","$61.858","$104.00","6/30/2020","GlaxoSmithKline",2019-09-01,2019,"58160-0815-52","75D30119D05108"
"2977","Hepatitis B Adult [5]","Heplisav-B™","5 pack – 1 dose syringe","$69.75","$115.75","6/30/2020","Dynavax",2019-09-01,2019,"43528-0003-05","75D30119D05107"
"2978","Hepatitis B Adult [5]","Engerix-B®","10 pack – 1 dose vial","$29.733","$58.95","6/30/2020","GlaxoSmithKline",2019-09-01,2019,"58160-0821-11","75D30119D05108"
"2979","Hepatitis B Adult [5]","Engerix-B®","10 pack – 1 dose syringe","$33.515","$58.95","6/30/2020","GlaxoSmithKline",2019-09-01,2019,"58160-0821-52","75D30119D05108"
"2980","HPV-Human Papillomavirus 9 Valent [5]","Gardasil®9","10 pack – 1 dose syringe","$144.99","$227.931","6/30/2020","Merck",2019-09-01,2019,"00006-4121-02","75D30119D05105"
"2981","Measles, Mumps, & Rubella [1]","M-M-R®II","10 pack – 1 dose vial","$49.536","$78.678","6/30/2020","Merck",2019-09-01,2019,"00006-4681-00","75D30119D05105"
"2982","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menveo®","5 pack – 1 dose vial","$67.618","$130.75","6/30/2020","GlaxoSmithKline",2019-09-01,2019,"58160-0955-09","75D30119D05108"
"2983","Meningococcal Conjugate (Groups A, C, Y and W-135) [5]","Menactra®","5 pack – 1 dose vial","$75.066","$122.31","6/30/2020","Sanofi",2019-09-01,2019,"49281-0589-05","75D30119D05106"
"2984","MENB – Meningococcal Group B [5]","Trumenba®","10 pack – 1 dose syringe","$85.10","$139.52","6/30/2020","Pfizer",2019-09-01,2019,"00005-0100-10","75D30119D05110"
"2985","MENB – Meningococcal Group B [5]","Bexsero®","10 pack – 1 dose syringe","$103.938","$170.75","6/30/2020","GlaxoSmithKline",2019-09-01,2019,"58160-0976-20","75D30119D05108"
"2986","Pneumococcal
13-valent [5]","Prevnar 13™","10 pack – 1 dose syringe","$125.07","$188.26","6/30/2020","Pfizer",2019-09-01,2019,"00005-1971-02","75D30119D05110"
"2987","Pneumococcal Polysaccharide (23 Valent)","Pneumovax®23","10 pack – 1 dose syringe","$66.201","$105.194","6/30/2020","Merck",2019-09-01,2019,"00006-4837-03","75D30119D05105"
"2988","Tetanus and Diphtheria Toxoids [3]","TDVAX™","10 pack – 1 dose vial","$16.027","$25.122","6/30/2020","Grifols",2019-09-01,2019,"13533-0131-01","75D30119D05109"
